id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28367182,Massive Ultra Luxury Condo W/ Rooftop Deck (AH),11129557,Rent Local,,Near West Side,41.8781,-87.66947,Entire home/apt,116,1,45,2019-04-08,6.82,19,4
28367240,Massive Ultra Luxury Condo W/ Rooftop Deck (AA),11129557,Rent Local,,Near West Side,41.8781,-87.66901,Entire home/apt,175,1,56,2019-04-14,8.16,19,9
28367306,Massive Ultra Luxury Condo W/ Rooftop Deck (Aj),11129557,Rent Local,,Near West Side,41.87881,-87.6676,Entire home/apt,115,1,52,2019-04-14,7.61,19,3
28367357,Massive Ultra Luxury Condo W/ Rooftop Deck (AC),11129557,Rent Local,,Near West Side,41.87847,-87.66743,Entire home/apt,89,1,46,2019-04-03,6.76,19,9
28370117,Convenient Modern 1-bed Apt in University Village,30992941,Ali,,Near West Side,41.86204,-87.64751,Entire home/apt,72,2,8,2018-12-25,1.12,1,0
28373190,Chicago Apartament2 Safe Neighborhood (Edgewater),209819820,Sebastian,,Edgewater,41.98285,-87.66262,Entire home/apt,82,1,51,2019-04-13,6.99,4,125
28379316,Warm and Welcoming Portage Park Home,46721070,Shari,,Portage Park,41.95013,-87.77437,Private room,38,1,4,2018-11-17,0.61,2,132
28380533,Uptown Gem with FREE Car Parking Space Included,35681660,Jayme,,Uptown,41.96217,-87.65384,Entire home/apt,249,4,2,2018-12-26,0.42,3,8
28382555,2BR Panoramic Apt w/ Lake Michigan Views by Domio,143825988,Domio,,Edgewater,41.98517,-87.6559,Entire home/apt,299,3,26,2019-03-30,3.56,32,242
28384788,Arty Spacious Vintage Cute,3999570,Marcelyn,,Humboldt Park,41.9071,-87.70914,Private room,50,5,2,2018-11-12,0.36,2,61
28386618,Queen sized bed in shared apartment,9491411,Ben,,West Town,41.89752,-87.68816,Private room,75,1,1,2018-10-05,0.16,2,41
28391363,"Private Rm in house tree-lined st., walk to train",92004531,Nancy,,West Elsdon,41.80061,-87.72189,Private room,38,2,3,2018-09-26,0.42,1,0
28402457,Lovely 1920's Quiet Charming Building,12909422,Stephanie,,Rogers Park,42.02198,-87.66571,Private room,60,2,1,2018-10-14,0.16,1,0
28404889,Cozy Living Room at Chicago West Loop,79035154,Xiaolin,,Near West Side,41.88221,-87.64401,Shared room,30,240,0,,,1,173
28405971,Cozy 2 Bd steps away from restaurants & shops,52806890,Inez,,West Town,41.89654,-87.6723,Entire home/apt,162,2,25,2019-04-12,3.50,2,85
28432015,Pink Line Loft,115378385,Nichole,,South Lawndale,41.8537,-87.69226,Entire home/apt,125,2,15,2019-04-02,2.20,2,318
28432105,TOP FLOOR SUITS,214461984,Alba,,Austin,41.88716,-87.7713,Entire home/apt,49,2,29,2019-04-01,4.42,1,216
28437341,Master Bedroom in Lincoln Park,214678665,Roberto,,Lincoln Park,41.93097,-87.64379,Private room,199,1,1,2018-10-07,0.16,1,89
28437505,⭐25% OFF❤️Andersonville| 15min UBER to Cubs⭐,166918192,Sara & Samir,,Uptown,41.96592,-87.66234,Entire home/apt,100,1,28,2019-03-24,3.96,30,248
28438288,Hollywood Ave Room,141245226,Ali,,North Park,41.98481,-87.70945,Private room,76,1,0,,,2,242
28438513,GORGEOUS New Apt-14m to OHare/13 to Loop-Sleeps 6,214687080,BG Chicago Properties,,Avondale,41.94167,-87.7257,Entire home/apt,185,2,32,2019-04-15,6.15,1,142
28440161,⭐NEW 25% OFF❤️Logan Square| Nightlife & Cubs⭐,166918192,Sara & Samir,,Logan Square,41.91979,-87.71839,Entire home/apt,100,1,15,2019-04-12,2.13,30,242
28441945,Wonderful Space,8480922,Samuel,,Albany Park,41.96987,-87.70636,Private room,45,2,17,2019-04-14,2.41,4,57
28442988,Cozy Room,8480922,Samuel,,Albany Park,41.96848,-87.70767,Private room,30,2,21,2019-04-14,3.18,4,29
28444302,Historic Chicago Apartment in Roscoe Village,86318831,Andrei,,North Center,41.94069,-87.67831,Entire home/apt,125,1,42,2019-04-13,6.74,2,57
28453100,Garden 1BR in ❤️of Wrigley with Free Parking Pass!,92022095,Ryan,,Lake View,41.94786,-87.65373,Entire home/apt,79,1,84,2019-04-13,12.41,1,97
